event_id,user_id,event_name,event_timestamp,device_type,channel,product_id
2697,U00353,view_home,2026-08-01 12:35:38,tablet,social,
2698,U00353,view_product,2026-08-01 12:36:01,tablet,social,P0049
2699,U00353,view_home,2026-08-01 12:37:00,tablet,social,
2700,U00353,view_product,2026-08-01 12:37:22,tablet,social,P0014
2701,U00353,add_to_cart,2026-08-01 12:38:15,tablet,social,P0014
2550,U00335,view_home,2026-08-01 13:05:05,desktop,direct,
2778,U00363,view_home,2026-08-01 13:43:06,tablet,social,
2779,U00363,view_product,2026-08-01 13:44:12,tablet,social,P0064
2780,U00363,view_home,2026-08-01 13:45:22,tablet,social,
2781,U00363,view_product,2026-08-01 13:47:46,tablet,social,P0120
2818,U00368,view_home,2026-08-01 13:54:24,mobile,email,
84,U00014,view_home,2026-08-01 14:20:34,tablet,social,
85,U00014,view_product,2026-08-01 14:22:11,tablet,social,P0013
1683,U00221,view_product,2026-08-01 14:27:40,desktop,social,P0112
3423,U00449,view_home,2026-08-01 14:53:25,desktop,email,
1195,U00155,view_home,2026-08-01 15:30:57,desktop,organic_search,
1196,U00155,view_product,2026-08-01 15:31:46,desktop,organic_search,P0049
243,U00035,view_home,2026-08-01 17:58:20,tablet,direct,
244,U00035,view_product,2026-08-01 18:00:35,tablet,direct,P0053
833,U00110,view_home,2026-08-01 18:39:46,mobile,organic_search,
265,U00039,view_home,2026-08-01 19:09:06,desktop,direct,
266,U00039,view_product,2026-08-01 19:09:30,desktop,direct,P0010
267,U00039,view_home,2026-08-01 19:10:35,desktop,direct,
590,U00081,view_home,2026-08-01 19:24:34,mobile,email,
591,U00081,view_product,2026-08-01 19:25:03,mobile,email,P0023
592,U00081,view_home,2026-08-01 19:26:26,mobile,email,
834,U00110,view_product,2026-08-01 20:52:46,mobile,organic_search,P0111
835,U00110,add_to_cart,2026-08-01 20:53:20,mobile,organic_search,P0111
836,U00110,checkout,2026-08-01 20:54:03,mobile,organic_search,P0111
837,U00110,purchase,2026-08-01 20:54:45,mobile,organic_search,P0111
3746,U00495,view_home,2026-08-01 21:17:28,tablet,social,
3747,U00495,view_product,2026-08-01 21:19:18,tablet,social,P0115
1894,U00251,view_home,2026-08-01 21:39:46,tablet,organic_search,
1895,U00251,view_product,2026-08-01 21:40:33,tablet,organic_search,P0068
1896,U00251,view_home,2026-08-01 21:40:42,tablet,organic_search,
1897,U00251,view_product,2026-08-01 21:43:26,tablet,organic_search,P0050
1898,U00251,add_to_cart,2026-08-01 21:43:54,tablet,organic_search,P0050
3306,U00436,view_home,2026-08-01 21:53:49,tablet,paid_search,
3307,U00436,view_product,2026-08-01 21:55:09,tablet,paid_search,P0105
3308,U00436,add_to_cart,2026-08-01 21:58:04,tablet,paid_search,P0105
3060,U00402,view_home,2026-08-01 22:27:00,desktop,social,
3061,U00402,view_product,2026-08-01 22:27:09,desktop,social,P0016
3062,U00402,view_home,2026-08-01 22:27:57,desktop,social,
2133,U00282,view_home,2026-08-02 06:25:05,tablet,social,
2134,U00282,view_product,2026-08-02 06:26:20,tablet,social,P0081
1824,U00243,view_home,2026-08-02 06:40:27,mobile,organic_search,
1825,U00243,view_product,2026-08-02 06:40:37,mobile,organic_search,P0052
1826,U00243,view_home,2026-08-02 06:40:57,mobile,organic_search,
1827,U00243,view_product,2026-08-02 06:43:18,mobile,organic_search,P0044
1828,U00243,add_to_cart,2026-08-02 06:45:43,mobile,organic_search,P0044
1829,U00243,checkout,2026-08-02 06:46:09,mobile,organic_search,P0044
1830,U00243,purchase,2026-08-02 06:49:04,mobile,organic_search,P0044
1155,U00151,view_home,2026-08-02 07:52:06,mobile,direct,
1156,U00151,view_product,2026-08-02 07:54:48,mobile,direct,P0005
823,U00109,view_home,2026-08-02 08:15:42,desktop,direct,
327,U00045,view_home,2026-08-02 09:10:19,mobile,organic_search,
328,U00045,view_product,2026-08-02 09:11:31,mobile,organic_search,P0015
329,U00045,view_home,2026-08-02 09:13:11,mobile,organic_search,
330,U00045,view_product,2026-08-02 09:14:51,mobile,organic_search,P0017
331,U00045,add_to_cart,2026-08-02 09:17:07,mobile,organic_search,P0017
332,U00045,checkout,2026-08-02 09:20:03,mobile,organic_search,P0017
333,U00045,purchase,2026-08-02 09:20:18,mobile,organic_search,P0017
2935,U00388,view_home,2026-08-02 10:21:37,mobile,paid_search,
3097,U00407,view_home,2026-08-02 11:11:20,desktop,social,
3098,U00407,view_product,2026-08-02 11:12:01,desktop,social,P0017
3099,U00407,view_home,2026-08-02 11:13:53,desktop,social,
3100,U00407,view_product,2026-08-02 11:14:49,desktop,social,P0005
3101,U00407,view_home,2026-08-02 11:16:48,desktop,social,
3102,U00407,view_product,2026-08-02 11:18:22,desktop,social,P0001
628,U00083,view_home,2026-08-02 11:25:53,mobile,social,
2873,U00378,view_home,2026-08-02 11:38:46,desktop,paid_search,
2333,U00310,view_home,2026-08-02 12:11:19,mobile,paid_search,
2334,U00310,view_product,2026-08-02 12:11:50,mobile,paid_search,P0054
2335,U00310,add_to_cart,2026-08-02 12:12:41,mobile,paid_search,P0054
2336,U00310,checkout,2026-08-02 12:13:11,mobile,paid_search,P0054
2337,U00310,purchase,2026-08-02 12:14:02,mobile,paid_search,P0054
2936,U00388,view_product,2026-08-02 12:15:37,mobile,paid_search,P0070
2937,U00388,add_to_cart,2026-08-02 12:15:53,mobile,paid_search,P0070
2938,U00388,checkout,2026-08-02 12:18:26,mobile,paid_search,P0070
2939,U00388,purchase,2026-08-02 12:20:37,mobile,paid_search,P0070
2874,U00378,view_product,2026-08-02 12:31:46,desktop,paid_search,P0105
2875,U00378,add_to_cart,2026-08-02 12:34:39,desktop,paid_search,P0105
1988,U00261,view_home,2026-08-02 14:43:45,mobile,email,
2397,U00318,view_home,2026-08-02 14:44:15,mobile,organic_search,
2398,U00318,view_product,2026-08-02 14:45:02,mobile,organic_search,P0108
2399,U00318,view_home,2026-08-02 14:45:39,mobile,organic_search,
2400,U00318,view_product,2026-08-02 14:47:14,mobile,organic_search,P0076
761,U00099,view_home,2026-08-02 14:47:18,desktop,email,
762,U00099,view_product,2026-08-02 14:47:33,desktop,email,P0015
763,U00099,view_home,2026-08-02 14:49:24,desktop,email,
764,U00099,view_product,2026-08-02 14:49:47,desktop,email,P0045
765,U00099,view_home,2026-08-02 14:50:31,desktop,email,
766,U00099,view_product,2026-08-02 14:52:52,desktop,email,P0054
767,U00099,add_to_cart,2026-08-02 14:54:52,desktop,email,P0054
1574,U00205,view_home,2026-08-02 16:06:08,mobile,paid_search,
1575,U00205,view_product,2026-08-02 16:07:53,mobile,paid_search,P0020
1576,U00205,add_to_cart,2026-08-02 16:10:41,mobile,paid_search,P0020
3019,U00398,view_home,2026-08-02 17:13:07,mobile,organic_search,
3020,U00398,view_product,2026-08-02 17:14:31,mobile,organic_search,P0119
3021,U00398,view_home,2026-08-02 17:15:45,mobile,organic_search,
3022,U00398,view_product,2026-08-02 17:18:21,mobile,organic_search,P0064
1,U00001,view_home,2026-08-02 19:29:58,mobile,paid_search,
2,U00001,view_product,2026-08-02 19:32:25,mobile,paid_search,P0029
3,U00001,add_to_cart,2026-08-02 19:32:40,mobile,paid_search,P0029
4,U00001,checkout,2026-08-02 19:35:22,mobile,paid_search,P0029
5,U00001,purchase,2026-08-02 19:38:16,mobile,paid_search,P0029
1677,U00220,view_home,2026-08-02 20:32:44,mobile,social,
3466,U00454,view_home,2026-08-02 20:36:26,mobile,organic_search,
3467,U00454,view_product,2026-08-02 20:37:16,mobile,organic_search,P0099
3468,U00454,view_home,2026-08-02 20:38:59,mobile,organic_search,
3469,U00454,view_product,2026-08-02 20:41:19,mobile,organic_search,P0100
3470,U00454,add_to_cart,2026-08-02 20:42:07,mobile,organic_search,P0100
2443,U00323,view_home,2026-08-02 21:08:09,tablet,paid_search,
2444,U00323,view_product,2026-08-02 21:08:28,tablet,paid_search,P0044
2445,U00323,view_home,2026-08-02 21:08:59,tablet,paid_search,
2446,U00323,view_product,2026-08-02 21:10:42,tablet,paid_search,P0049
2940,U00388,view_home,2026-08-03 06:52:28,mobile,organic_search,
2941,U00388,view_product,2026-08-03 06:54:17,mobile,organic_search,P0040
2942,U00388,add_to_cart,2026-08-03 06:56:05,mobile,organic_search,P0040
262,U00039,view_home,2026-08-03 08:17:53,tablet,social,
263,U00039,view_product,2026-08-03 08:18:54,tablet,social,P0013
264,U00039,view_home,2026-08-03 08:20:06,tablet,social,
2880,U00379,view_home,2026-08-03 08:24:22,desktop,organic_search,
2881,U00379,view_product,2026-08-03 09:01:22,desktop,organic_search,P0035
1996,U00263,view_home,2026-08-03 09:34:28,desktop,organic_search,
1997,U00263,view_product,2026-08-03 09:35:48,desktop,organic_search,P0008
1998,U00263,view_home,2026-08-03 09:36:53,desktop,organic_search,
1999,U00263,view_product,2026-08-03 09:37:17,desktop,organic_search,P0102
2000,U00263,add_to_cart,2026-08-03 10:36:17,desktop,organic_search,P0102
3322,U00438,view_home,2026-08-03 10:55:14,mobile,social,
2377,U00316,view_home,2026-08-03 11:06:39,mobile,social,
2946,U00388,view_home,2026-08-03 11:16:53,desktop,paid_search,
99,U00016,view_home,2026-08-03 11:36:42,mobile,organic_search,
100,U00016,view_product,2026-08-03 11:38:20,mobile,organic_search,P0116
3554,U00467,view_home,2026-08-03 12:43:37,desktop,social,
3555,U00467,view_product,2026-08-03 12:44:04,desktop,social,P0112
3556,U00467,view_home,2026-08-03 12:45:57,desktop,social,
3557,U00467,view_product,2026-08-03 12:46:35,desktop,social,P0115
3558,U00467,add_to_cart,2026-08-03 12:46:58,desktop,social,P0115
3559,U00467,checkout,2026-08-03 12:48:17,desktop,social,P0115
3446,U00452,view_home,2026-08-03 13:36:44,tablet,email,
3447,U00452,view_product,2026-08-03 13:38:55,tablet,email,P0079
3448,U00452,add_to_cart,2026-08-03 13:40:19,tablet,email,P0079
2045,U00269,view_home,2026-08-03 13:50:07,desktop,direct,
2046,U00269,view_product,2026-08-03 13:50:23,desktop,direct,P0058
2047,U00269,add_to_cart,2026-08-03 13:51:48,desktop,direct,P0058
400,U00054,view_home,2026-08-03 14:11:13,tablet,paid_search,
401,U00054,view_product,2026-08-03 14:12:22,tablet,paid_search,P0020
402,U00054,view_home,2026-08-03 14:12:34,tablet,paid_search,
403,U00054,view_product,2026-08-03 14:14:09,tablet,paid_search,P0042
1520,U00198,view_home,2026-08-03 14:22:50,mobile,paid_search,
757,U00097,view_home,2026-08-03 16:15:11,tablet,direct,
1838,U00246,view_home,2026-08-03 16:47:48,desktop,email,
1839,U00246,view_product,2026-08-03 16:49:30,desktop,email,P0009
2896,U00381,view_home,2026-08-03 17:00:16,desktop,paid_search,
2897,U00381,view_product,2026-08-03 17:01:02,desktop,paid_search,P0055
2324,U00309,view_home,2026-08-03 18:12:18,mobile,email,
315,U00044,view_home,2026-08-03 18:33:58,mobile,paid_search,
316,U00044,view_product,2026-08-03 18:35:40,mobile,paid_search,P0057
317,U00044,add_to_cart,2026-08-03 18:37:19,mobile,paid_search,P0057
318,U00044,checkout,2026-08-03 18:37:58,mobile,paid_search,P0057
2249,U00298,view_home,2026-08-03 20:41:15,desktop,email,
2250,U00298,view_product,2026-08-03 20:43:27,desktop,email,P0056
630,U00084,view_home,2026-08-03 20:44:09,tablet,direct,
631,U00084,view_product,2026-08-03 20:44:16,tablet,direct,P0031
632,U00084,view_home,2026-08-03 20:44:47,tablet,direct,
2251,U00298,add_to_cart,2026-08-03 20:45:05,desktop,email,P0056
633,U00084,view_product,2026-08-03 20:46:49,tablet,direct,P0079
2325,U00309,view_product,2026-08-03 21:28:18,mobile,email,P0083
582,U00079,view_home,2026-08-03 22:37:29,desktop,direct,
583,U00079,view_product,2026-08-03 22:37:38,desktop,direct,P0108
584,U00079,view_home,2026-08-03 22:38:33,desktop,direct,
373,U00049,view_home,2026-08-04 06:08:23,desktop,email,
374,U00049,view_product,2026-08-04 06:09:00,desktop,email,P0038
375,U00049,view_home,2026-08-04 06:09:46,desktop,email,
376,U00049,view_product,2026-08-04 06:11:44,desktop,email,P0028
377,U00049,add_to_cart,2026-08-04 06:12:50,desktop,email,P0028
1204,U00156,view_home,2026-08-04 06:14:09,tablet,email,
1205,U00156,view_product,2026-08-04 06:15:10,tablet,email,P0107
1206,U00156,view_home,2026-08-04 06:15:43,tablet,email,
1412,U00184,view_home,2026-08-04 06:28:47,mobile,social,
1413,U00184,view_product,2026-08-04 06:29:05,mobile,social,P0034
1414,U00184,view_home,2026-08-04 06:30:29,mobile,social,
1415,U00184,view_product,2026-08-04 06:30:53,mobile,social,P0011
1416,U00184,view_home,2026-08-04 06:32:21,mobile,social,
94,U00014,view_home,2026-08-04 07:40:48,tablet,direct,
95,U00014,view_product,2026-08-04 07:43:39,tablet,direct,P0107
1395,U00181,view_home,2026-08-04 09:55:20,mobile,direct,
1396,U00181,view_product,2026-08-04 09:56:22,mobile,direct,P0096
1397,U00181,view_home,2026-08-04 09:57:09,mobile,direct,
1398,U00181,view_product,2026-08-04 09:59:39,mobile,direct,P0108
634,U00084,view_home,2026-08-04 10:27:18,tablet,organic_search,
635,U00084,view_product,2026-08-04 10:27:40,tablet,organic_search,P0052
636,U00084,add_to_cart,2026-08-04 10:28:47,tablet,organic_search,P0052
3193,U00419,view_home,2026-08-04 10:34:37,desktop,email,
350,U00048,view_home,2026-08-04 11:14:10,tablet,email,
351,U00048,view_product,2026-08-04 11:16:21,tablet,email,P0046
352,U00048,add_to_cart,2026-08-04 11:18:51,tablet,email,P0046
353,U00048,checkout,2026-08-04 11:21:25,tablet,email,P0046
354,U00048,purchase,2026-08-04 11:23:56,tablet,email,P0046
396,U00053,view_home,2026-08-04 12:42:45,mobile,organic_search,
397,U00053,view_product,2026-08-04 12:43:01,mobile,organic_search,P0079
398,U00053,view_home,2026-08-04 12:44:22,mobile,organic_search,
399,U00053,view_product,2026-08-04 12:46:51,mobile,organic_search,P0083
647,U00085,view_home,2026-08-04 16:14:16,mobile,direct,
648,U00085,view_product,2026-08-04 16:15:48,mobile,direct,P0072
2111,U00279,view_home,2026-08-04 18:34:24,tablet,paid_search,
2112,U00279,view_product,2026-08-04 18:36:04,tablet,paid_search,P0033
561,U00075,view_home,2026-08-04 18:50:53,desktop,social,
1021,U00135,view_home,2026-08-04 19:34:33,mobile,email,
1022,U00135,view_product,2026-08-04 19:36:00,mobile,email,P0115
1023,U00135,add_to_cart,2026-08-04 19:36:33,mobile,email,P0115
1667,U00218,view_home,2026-08-04 21:12:09,tablet,email,
1668,U00218,view_product,2026-08-04 21:12:54,tablet,email,P0072
1669,U00218,view_home,2026-08-04 21:14:07,tablet,email,
1670,U00218,view_product,2026-08-04 21:15:39,tablet,email,P0073
2692,U00353,view_home,2026-08-04 21:28:13,tablet,email,
2693,U00353,view_product,2026-08-04 21:29:31,tablet,email,P0018
2694,U00353,view_home,2026-08-04 21:30:32,tablet,email,
2695,U00353,view_product,2026-08-04 21:31:17,tablet,email,P0059
2696,U00353,add_to_cart,2026-08-04 21:32:15,tablet,email,P0059
1865,U00248,view_home,2026-08-04 22:12:39,mobile,paid_search,
1866,U00248,view_product,2026-08-04 22:13:42,mobile,paid_search,P0023
1867,U00248,view_home,2026-08-04 22:14:36,mobile,paid_search,
1868,U00248,view_product,2026-08-04 22:15:28,mobile,paid_search,P0018
1869,U00248,view_home,2026-08-04 22:16:31,mobile,paid_search,
1870,U00248,view_product,2026-08-04 22:17:48,mobile,paid_search,P0028
1871,U00248,add_to_cart,2026-08-04 22:20:21,mobile,paid_search,P0028
1872,U00248,checkout,2026-08-04 22:22:28,mobile,paid_search,P0028
1873,U00248,purchase,2026-08-04 22:24:03,mobile,paid_search,P0028
2686,U00352,view_home,2026-08-04 22:48:20,desktop,direct,
3225,U00425,view_home,2026-08-04 22:51:29,desktop,email,
3226,U00425,view_product,2026-08-04 22:53:56,desktop,email,P0052
3227,U00425,add_to_cart,2026-08-04 22:55:56,desktop,email,P0052
852,U00112,view_home,2026-08-05 06:18:13,tablet,organic_search,
13,U00004,view_home,2026-08-05 06:50:03,tablet,paid_search,
14,U00004,view_product,2026-08-05 06:50:36,tablet,paid_search,P0099
15,U00004,add_to_cart,2026-08-05 06:52:17,tablet,paid_search,P0099
16,U00004,checkout,2026-08-05 06:55:16,tablet,paid_search,P0099
17,U00004,purchase,2026-08-05 06:58:09,tablet,paid_search,P0099
227,U00033,view_home,2026-08-05 07:05:08,desktop,email,
228,U00033,view_product,2026-08-05 07:06:25,desktop,email,P0118
229,U00033,view_home,2026-08-05 07:07:06,desktop,email,
230,U00033,view_product,2026-08-05 07:08:31,desktop,email,P0077
1915,U00252,view_home,2026-08-05 07:59:27,desktop,email,
1916,U00252,view_product,2026-08-05 08:00:35,desktop,email,P0020
452,U00060,view_home,2026-08-05 08:01:05,mobile,social,
453,U00060,view_product,2026-08-05 08:01:49,mobile,social,P0069
1917,U00252,view_home,2026-08-05 08:02:31,desktop,email,
1918,U00252,view_product,2026-08-05 08:02:44,desktop,email,P0015
1919,U00252,add_to_cart,2026-08-05 08:05:10,desktop,email,P0015
506,U00067,view_home,2026-08-05 08:16:53,mobile,organic_search,
507,U00067,view_product,2026-08-05 08:19:22,mobile,organic_search,P0058
3057,U00401,view_home,2026-08-05 09:49:41,tablet,direct,
3058,U00401,view_product,2026-08-05 09:51:07,tablet,direct,P0117
3059,U00401,view_home,2026-08-05 09:52:09,tablet,direct,
1501,U00194,view_home,2026-08-05 09:55:49,tablet,organic_search,
1502,U00194,view_product,2026-08-05 09:57:02,tablet,organic_search,P0050
1503,U00194,view_home,2026-08-05 09:57:31,tablet,organic_search,
1504,U00194,view_product,2026-08-05 10:00:04,tablet,organic_search,P0013
454,U00060,add_to_cart,2026-08-05 10:06:49,mobile,social,P0069
455,U00060,checkout,2026-08-05 10:09:47,mobile,social,P0069
456,U00060,purchase,2026-08-05 10:11:27,mobile,social,P0069
853,U00112,view_product,2026-08-05 10:15:13,tablet,organic_search,P0002
854,U00112,add_to_cart,2026-08-05 10:17:29,tablet,organic_search,P0002
971,U00128,view_home,2026-08-05 10:19:57,mobile,email,
972,U00128,view_product,2026-08-05 10:20:13,mobile,email,P0106
973,U00128,view_home,2026-08-05 10:21:48,mobile,email,
974,U00128,view_product,2026-08-05 10:23:21,mobile,email,P0022
975,U00128,add_to_cart,2026-08-05 10:24:32,mobile,email,P0022
3118,U00410,view_home,2026-08-05 10:48:03,mobile,social,
3119,U00410,view_product,2026-08-05 10:48:42,mobile,social,P0090
3120,U00410,view_home,2026-08-05 10:49:08,mobile,social,
768,U00100,view_home,2026-08-05 11:27:58,desktop,organic_search,
769,U00100,view_product,2026-08-05 11:29:25,desktop,organic_search,P0014
770,U00100,view_home,2026-08-05 11:30:56,desktop,organic_search,
2556,U00337,view_home,2026-08-05 12:06:01,desktop,social,
2557,U00337,view_product,2026-08-05 12:07:08,desktop,social,P0117
2558,U00337,add_to_cart,2026-08-05 12:07:19,desktop,social,P0117
2559,U00337,checkout,2026-08-05 12:07:58,desktop,social,P0117
2560,U00337,purchase,2026-08-05 12:09:08,desktop,social,P0117
729,U00095,view_home,2026-08-05 12:34:26,mobile,paid_search,
730,U00095,view_product,2026-08-05 12:35:47,mobile,paid_search,P0079
731,U00095,view_home,2026-08-05 12:36:17,mobile,paid_search,
732,U00095,view_product,2026-08-05 12:36:26,mobile,paid_search,P0093
3505,U00460,view_home,2026-08-05 12:50:20,desktop,organic_search,
3506,U00460,view_product,2026-08-05 12:50:57,desktop,organic_search,P0021
3507,U00460,add_to_cart,2026-08-05 12:51:48,desktop,organic_search,P0021
3348,U00442,view_home,2026-08-05 14:01:04,desktop,email,
3349,U00442,view_product,2026-08-05 14:01:42,desktop,email,P0112
3256,U00429,view_home,2026-08-05 14:02:16,mobile,social,
3257,U00429,view_product,2026-08-05 14:02:43,mobile,social,P0042
3350,U00442,view_home,2026-08-05 14:02:50,desktop,email,
3258,U00429,view_home,2026-08-05 14:03:01,mobile,social,
3351,U00442,view_product,2026-08-05 14:03:35,desktop,email,P0099
3259,U00429,view_product,2026-08-05 14:05:52,mobile,social,P0081
135,U00022,view_home,2026-08-05 14:17:26,mobile,social,
136,U00022,view_product,2026-08-05 14:18:20,mobile,social,P0064
137,U00022,view_home,2026-08-05 14:19:16,mobile,social,
138,U00022,view_product,2026-08-05 14:19:25,mobile,social,P0025
3103,U00407,view_home,2026-08-05 14:33:14,desktop,direct,
3104,U00407,view_product,2026-08-05 14:33:42,desktop,direct,P0093
1977,U00260,view_home,2026-08-05 15:21:16,desktop,paid_search,
457,U00060,view_home,2026-08-05 15:34:35,tablet,social,
458,U00060,view_product,2026-08-05 15:35:50,tablet,social,P0003
459,U00060,view_home,2026-08-05 15:36:44,tablet,social,
849,U00112,view_home,2026-08-05 15:37:01,desktop,email,
460,U00060,view_product,2026-08-05 15:37:49,tablet,social,P0006
850,U00112,view_product,2026-08-05 15:38:56,desktop,email,P0120
461,U00060,view_home,2026-08-05 15:39:15,tablet,social,
462,U00060,view_product,2026-08-05 15:39:27,tablet,social,P0101
851,U00112,add_to_cart,2026-08-05 15:41:04,desktop,email,P0120
78,U00012,view_home,2026-08-05 16:49:56,desktop,paid_search,
463,U00060,add_to_cart,2026-08-05 17:15:27,tablet,social,P0101
2746,U00359,view_home,2026-08-05 17:27:39,tablet,email,
2747,U00359,view_product,2026-08-05 17:28:08,tablet,email,P0092
2748,U00359,view_home,2026-08-05 17:29:00,tablet,email,
2749,U00359,view_product,2026-08-05 17:31:18,tablet,email,P0082
3432,U00451,view_home,2026-08-05 18:52:01,tablet,email,
3433,U00451,view_product,2026-08-05 18:53:01,tablet,email,P0013
3434,U00451,view_home,2026-08-05 18:54:36,tablet,email,
3435,U00451,view_product,2026-08-05 18:55:47,tablet,email,P0041
3436,U00451,view_home,2026-08-05 18:56:16,tablet,email,
2776,U00363,view_home,2026-08-05 19:17:18,desktop,organic_search,
2777,U00363,view_product,2026-08-05 19:19:32,desktop,organic_search,P0022
3756,U00496,view_home,2026-08-05 22:29:44,desktop,social,
3757,U00496,view_product,2026-08-05 22:32:20,desktop,social,P0039
3758,U00496,add_to_cart,2026-08-05 22:32:41,desktop,social,P0039
3759,U00496,checkout,2026-08-05 22:33:39,desktop,social,P0039
3760,U00496,purchase,2026-08-05 22:35:48,desktop,social,P0039
618,U00083,view_home,2026-08-05 22:59:55,mobile,organic_search,
520,U00069,view_home,2026-08-06 06:49:39,tablet,social,
521,U00069,view_product,2026-08-06 06:50:57,tablet,social,P0054
522,U00069,view_home,2026-08-06 06:52:21,tablet,social,
523,U00069,view_product,2026-08-06 06:55:09,tablet,social,P0034
524,U00069,add_to_cart,2026-08-06 06:56:34,tablet,social,P0034
2403,U00319,view_home,2026-08-06 07:06:17,desktop,direct,
2404,U00319,view_product,2026-08-06 07:06:30,desktop,direct,P0101
2405,U00319,view_home,2026-08-06 07:06:51,desktop,direct,
2406,U00319,view_product,2026-08-06 07:07:13,desktop,direct,P0041
2407,U00319,add_to_cart,2026-08-06 07:07:37,desktop,direct,P0041
2408,U00319,checkout,2026-08-06 07:55:37,desktop,direct,P0041
2409,U00319,purchase,2026-08-06 07:56:09,desktop,direct,P0041
1950,U00257,view_home,2026-08-06 09:55:35,tablet,direct,
1305,U00170,view_home,2026-08-06 09:56:34,mobile,social,
1951,U00257,view_product,2026-08-06 09:56:36,tablet,direct,P0037
1306,U00170,view_product,2026-08-06 09:57:00,mobile,social,P0029
1952,U00257,view_home,2026-08-06 09:57:01,tablet,direct,
1953,U00257,view_product,2026-08-06 09:58:00,tablet,direct,P0094
1307,U00170,view_home,2026-08-06 09:58:51,mobile,social,
1954,U00257,view_home,2026-08-06 09:59:59,tablet,direct,
1308,U00170,view_product,2026-08-06 10:01:28,mobile,social,P0061
1955,U00257,view_product,2026-08-06 10:02:40,tablet,direct,P0095
1956,U00257,add_to_cart,2026-08-06 10:04:49,tablet,direct,P0095
186,U00029,view_home,2026-08-06 11:04:39,mobile,paid_search,
187,U00029,view_product,2026-08-06 11:04:54,mobile,paid_search,P0097
188,U00029,add_to_cart,2026-08-06 11:07:06,mobile,paid_search,P0097
189,U00029,checkout,2026-08-06 11:08:41,mobile,paid_search,P0097
1321,U00172,view_home,2026-08-06 11:09:24,tablet,social,
1322,U00172,view_product,2026-08-06 11:09:33,tablet,social,P0053
190,U00029,purchase,2026-08-06 11:09:59,mobile,paid_search,P0097
1254,U00162,view_home,2026-08-06 11:32:48,desktop,email,
1255,U00162,view_product,2026-08-06 11:33:37,desktop,email,P0028
1256,U00162,add_to_cart,2026-08-06 11:34:49,desktop,email,P0028
1257,U00162,checkout,2026-08-06 11:37:22,desktop,email,P0028
3611,U00473,view_home,2026-08-06 11:37:48,desktop,email,
3612,U00473,view_product,2026-08-06 11:38:47,desktop,email,P0059
1130,U00146,view_home,2026-08-06 12:47:00,mobile,paid_search,
8,U00003,view_home,2026-08-06 12:54:58,desktop,email,
1875,U00250,view_home,2026-08-06 13:29:40,tablet,direct,
1876,U00250,view_product,2026-08-06 13:31:00,tablet,direct,P0061
1877,U00250,view_home,2026-08-06 13:32:52,tablet,direct,
1878,U00250,view_product,2026-08-06 13:33:56,tablet,direct,P0036
1879,U00250,view_home,2026-08-06 13:34:02,tablet,direct,
1880,U00250,view_product,2026-08-06 13:35:13,tablet,direct,P0111
